from,to
EGO,MBP
EGO,RNASE2
HOTAIRM1,HOXA1
HOTAIRM1,HOXA4
Gomafu,Aff1
Gomafu,Cdx2
Gomafu,Dppa3
Gomafu,Eomes
Gomafu,Fgf4
Gomafu,Gata3
Gomafu,Gata6
Gomafu,Gdf3
Gomafu,Hand1
Gomafu,Id2
Gomafu,Klf4
Gomafu,Nanog
Gomafu,Pou5f1
Gomafu,Relb
Gomafu,Sox1
AK141205,Sox2
Gomafu,Sox2
Gomafu,Sox4
Gomafu,T
AK141205,Klf4
AK141205,Gdf3
AK141205,Fgf4
AK141205,Dppa3
AK141205,Sox1
AK141205,T
AK141205,Gsc
AK141205,Sox4
AK141205,Gata6
AK141205,Gata4
AK141205,Relb
AK141205,Lefty2
AK141205,Eomes
Snhg3,Klf4
Snhg3,Nanog
Snhg3,Pou5f1
Snhg3,Sox2
LincRNA-EPS,Akt1
LincRNA-EPS,Api5
LincRNA-EPS,Bad
LincRNA-EPS,Bag1
LincRNA-EPS,Bak1
LincRNA-EPS,Bcl2l1
LincRNA-EPS,Birc5
LincRNA-EPS,Bnip2
LincRNA-EPS,Casp2
LincRNA-EPS,Casp3
LincRNA-EPS,Casp6
LincRNA-EPS,Cideb
LincRNA-EPS,Dad1
LincRNA-EPS,Dapk1
LincRNA-EPS,Dffa
LincRNA-EPS,Dffb
LincRNA-EPS,Fadd
LincRNA-EPS,Nfkb1
LincRNA-EPS,Polb
LincRNA-EPS,Prdx2
LincRNA-EPS,Pycard
LincRNA-EPS,Sphk2
LincRNA-EPS,Traf2
LincRNA-EPS,Traf3
LincRNA-EPS,Trp53
LincRNA-EPS,Zc3hc1
lncRNA_ES2,POU5F1
lncRNA_ES3,POU5F1
lncRNA_ES1,POU5F1
TIP,Lzic
TIP,Stox2
TIP,Syn1
Airn,Igf2r
linc-RoR,NANOG
linc-RoR,POU5F1
linc-RoR,SOX2
Dlx1as,Dlx1
Dlx1as,Dlx2
HOXA-AS2,TNFSF10
T-ALL-R-LncR1,CASP3
T-ALL-R-LncR1,DIABLO
THRIL,TNF
Paupar,Pax6
TUNA,Fgf4
TUNA,Nanog
TUNA,Sox2
LincRNA-p21,P21
TSLC1-AS1,D1S111
TSLC1-AS1,NF1
TSLC1-AS1,PIK3CA
CASC2,MIR21
XIST,MIR152
TUG1,MIR144
HOTAIR,MIR326
NEAT1,MIR449B
GAS5,MIR222
SALNR,ILF3
lnc-OPC,Olig2
TUG1,BCL2
H19,NANOG
H19,POU5F1
H19,PROM1
H19,SOX2
CRNDE,MIR384
LncRNA-ATB,MIR200A
TUG1,MIR299
H19,ABCB1
H19,ABCC1
H19,ABCG2
H19,MIR29A
ZEB1-AS1,BAX
ZEB1-AS1,BCL2
ZEB1-AS1,CCND1
ZEB1-AS1,CDH1
ZEB1-AS1,CDH2
ZEB1-AS1,CDK2
ZEB1-AS1,ITGB1
ZEB1-AS1,MMP2
ZEB1-AS1,MMP9
ZEB1-AS1,ZEB1
H19,MIR140
CCAT1,MIR410
RP5833A20.1,NFIA
RAMP2-AS1,NOTCH3
FOXD3-AS1,FOXD3
H19,Mir19b-1
CASC2,MIR181A1
UCA1,MIR182
TP73-AS1,RFX1
NEAT1,miR-181d-5p
MALAT1,MIR203A
XIST,MIR137
HOXD-AS1,MIR370
CCAT1,MIR181B1
UCA1,MIR122
TP53TG1,HSPA5
TP53TG1,IDH1
TP53TG1,PKM
CCDC26,MIR203A
MALAT1,ZEB1
HOTAIR,MIR148B
XIST,MIR29C
UCA1,FSD1
UCA1,HES1
HOTTIP,miR-101
HOXA11-AS,MIR214
PWAR5,EZH2
LUCAT1,MIR375
Sox2ot,MIR122
Sox2ot,MIR194-1
CASC2,MIR193A
H19,MIR130B
lncRNA-1604,Mir200c
lncRNA-1604,Zeb1
lncRNA-1604,Zeb2
lncHERG,MIR940
HOTAIR,MIR126
HOTAIR,MIR15B
HOXD-AS1,MIR130A
MEG3,MIR211
ENST01108,MIR489
ENST01108,SIK1
PVT1,MIR190A
SNHG16,MIR4518
PVT1,MIR26B
ZEB1,MIR214
MALAT1,Mir129
FAL1,PDK1
NEAT1,Mir27b
MALAT1,MIR15A
LINC00460,MIR320A
MALAT1,MIR96
LINC01116,VEGFA
GAS5,GSTM3
ZFAS1,MIR432
KCNQ1OT1,MIR326
RHPN1-AS1,MIR625
GAS5,MIR222
MEG3,MIR345
NCK1-AS1,MIR137
SNHG16,MIR370
LINC00449,MIR150
HANR,MIR335
TCONS_00016233,MIR22
LOC285758,MIR204
GAS5‑AS1,MIR106A
NEAT1,MIR23C
Gm4419,Mir455
MALAT1,MIR384
PVT1,MIR190A
MALAT1,MIR17
XIST,MIR203A
XIST,MIR142
MALAT1,miR-129-5p
NNT-AS1,MIR494
Mtss1,Mir709
MEG3,MIR93
SNHG6,MIR543
ANXA2P2,miR-9
SNHG16,MIR490
LINC00152,MIR613
NBAT1,MIR21
UCA1,MIR873
LEF1-AS1,MIR489
LINC00173,MIR765
TTTY15,MIR98
KCNQ1OT1,MIR18B
LYPLAL1-2,MIR217
ZFAS1,MIR1271
CASC2,MIR18A
BCYRN1,MIR619
KCNQ1OT1,MIR18B
LINC00662,MIR34A
KCNQ1OT1,YAP1
XIST,miR-124
XIST,MIR599
CDKN2B-AS1,MIR143
TUG1,MIR494
LINC00176,WIF1
NEAT1,miR-124
HOXA11-AS,miR-124
LINC01003,MIR33A
Zfhx2as,Zfhx2
BACE1-AS,BACE1
Evf2,Dlx5
Evf2,Dlx6
Evf2,Gad1
EMX2OS,EMX2
Meg3,Dll4
Meg3,Flt1
Meg3,Hes1
Meg3,Iqgap1
Meg3,Vegfa
Meg3,Wasl
Malat1,Bub1b
Malat1,Col4a2
Malat1,Ebf3
Malat1,Ehbp1l1
Malat1,Fermt1
Malat1,Frmd8
Malat1,Ltbp3
Malat1,Mx2
Malat1,Neat1
Malat1,Shox2
Malat1,Tigd3
Malat1,Tnnt1
Dlx1as,Dlx1
Dlx1as,Dlx2
AK081227,Gabrr2
Paupar,Pax6
lnc-OPC,Olig2
MALAT1,PIK3CB
Gm4419,Bax
Gm4419,Mir466l
Gm4419,Tnf
UCA1,FSD1
UCA1,HES1
RP11‑543N12.1,MIR324
NEAT1,MIR132
FENDRR,MIR126
UCA1,MIR627
EGFR-AS1,MIR133B
linc00645,MIR205
DLEU1,MIR4429
LINC00511,MIR524
SNHG17,MIR23B
TP53TG1,MIR524
NEAT1,Mir214
LBX2-AS1,MIR491
MSC‑AS1,MIR373
LINC00210,MIR328
AK039862,FOXA1
AK039862,Pafah1b1
SNHG7,Mir9-2
NEAT1,miR-124
HOXA11-AS,miR-124
HCP5,MIR128-1
AC007128.1,HSP90AB1
AC007128.1,TSHR
AC007128.1,LRFN5
AC007128.1,MIR5008
AC007128.1,RN7SL336P
AC007128.1,MGC15885
AC007128.1,SRL
AC007128.1,MTCYBP3
AC007128.1,SNORD92
AC007128.1,FAM245A
AC007128.1,RNA5SP379
AC007128.1,MYL12B
AC007128.1,SLC1A4
AC007128.1,TAT
AC007128.1,TRIM44
AC007128.1,CDCA8
AC007128.1,GCLC
AC007128.1,PGAM1
AC007128.1,UBA1
AC007128.1,ACTL11P
AC007128.1,DNAJA1
AC007128.1,HSPA5
AC007128.1,RALBP1
AC007128.1,TMEM14A
AC007128.1,GDF15
AC007128.1,HSPA8
AC007128.1,MYCL
AC007128.1,AFAP1
AC007128.1,UAP1
AC007128.1,SARS1
AC007128.1,TLE4
AC007128.1,ABCA2
AC007128.1,DKK1
AC007128.1,FAM25G
AC007128.1,IL1B
AC007128.1,SSC5D
AC007128.1,PDE2A
AC007128.1,PSMC3IP
AC007128.1,LCN2
AC007128.1,MSN
AC007128.1,GAS5
AC007128.1,DDOST
AC007128.1,TXNRD1
AC007128.1,VCP
AC007128.1,ZFP36L1
AC007128.1,DDX19B
AC007128.1,GID8
AC007128.1,ASNS
AC007128.1,OR2L1P
AC007128.1,SPTBN1
AC007128.1,DLC1
AC007128.1,NKIRAS2
AC007128.1,SERPINE1
AC007128.1,C15orf61
AC007128.1,ERN1
AC007128.1,RNF141
AC007128.1,MOCOS
AC007128.1,NDUFA4
AC007128.1,ATP6
AC007128.1,LAMC1
AC007128.1,MAGEF1
AC007128.1,PLGRKT
AC007128.1,SHD
AC007128.1,WBP11
AC007128.1,CYP51A1
AC007128.1,MIR3936
AC007128.1,RNA5SP334
AC007128.1,MIR4742
AC007128.1,MIR196B
AC007128.1,MIR4793
AC007128.1,HOXA1
AC007128.1,ZFYVE21
AC007128.1,CDC42EP3
AC007128.1,UPP1
AC007128.1,CTNNB1
AC007128.1,CDCP1
AC007128.1,RACK1
AC007128.1,PSMD13
AC007128.1,IL6
AC007128.1,CDK2AP2
AC007128.1,SH3RF2
AC007128.1,GALNT12
AC007128.1,ZFAS1
AC007128.1,SSH1
AC007128.1,MTHFD1
AC007128.1,ZDHHC9
AC007128.1,PRDX1
AC007128.1,SPTAN1
AC007128.1,HSP90AA1
AC007128.1,PTGFRN
AC007128.1,NIT1
AC007128.1,GCAT
AC007128.1,SAT1
AC007128.1,D2HGDH
AC007128.1,PACS1
AC007128.1,E2F8
AC007128.1,CCN2
AC007128.1,PEAK1
AC007128.1,MYL12A
AC007128.1,PROSER2
AC007128.1,RAD51
AC007128.1,SKI
AC007128.1,TUBB4B
AC007128.1,SYPL2
AC007128.1,DUSP1
AC007128.1,PAK1
AC007128.1,ENTR1
AC007128.1,LDHB
AC007128.1,DNAJC6
AC007128.1,MIR205HG
AC007128.1,MCM2
AC007128.1,PLXNA1
AC007128.1,UBE2H
AC007128.1,ARHGEF2
AC007128.1,TARS1
AC007128.1,PDIA4
AC007128.1,DUSP8
AC007128.1,PEX6
AC007128.1,PGK1
AC007128.1,LINC02348
AC007128.1,IRX6
AC007128.1,PFN4
AC007128.1,ELOVL2
AC007128.1,LURAP1L
AC007128.1,NATD1
AC007128.1,FGFBP1
AC007128.1,CSNK2A1
AC007128.1,PACC1
AC007128.1,TSR1
AC007128.1,ALDH1A3
AC007128.1,CCT6A
AC007128.1,IFRD1
AC007128.1,SESN2
AC007128.1,SP110
AC007128.1,DKK3
AC007128.1,TMC4
AC007128.1,PIGS
AC007128.1,EGR1
AC007128.1,TRIM25
AC007128.1,NOXA1
AC007128.1,PCOLCE2
AC007128.1,STC2
AC007128.1,CLSPN
AC007128.1,FAM83D
AC007128.1,PCNA
AC007128.1,ADGRA2
AC007128.1,MPZL3
AC007128.1,NBPF1
AC007128.1,SIK2
AC007128.1,PHLDA1
AC007128.1,KDM4A
AC007128.1,ASNSP1
AC007128.1,CCT3
AC007128.1,PCSK5
AC007128.1,PPIL2
AC007128.1,TMEM40
AC007128.1,GULP1
AC007128.1,LOC107984660
AC007128.1,FOS
AC007128.1,BNC1
AC007128.1,PSAT1
AC007128.1,SLC39A11
AC007128.1,COA6-AS1
AC007128.1,ADRB2
AC007128.1,TERF2IP
AC007128.1,TRIP13
AC007128.1,BCAR3
AC007128.1,ADCY6-DT
AC007128.1,LAMC2
AC007128.1,TRMT12
AC007128.1,RPA1
AC007128.1,FAM228A
AC007128.1,BHLHE40
AC007128.1,ATP2C2
AC007128.1,NQO1
AC007128.1,HMGB3
AC007128.1,MCM6
AC007128.1,TMED2
AC007128.1,TMEM71
AC007128.1,LOC105369576
AC007128.1,DNAH1
AC007128.1,SPC25
AC007128.1,ESCO2
AC007128.1,SYK
AC007128.1,LNCAROD
AC007128.1,GINS2
AC007128.1,VDAC3
AC007128.1,TMED8
AC007128.1,PJA2
AC007128.1,PLK1
AC007128.1,IL1A
AC007128.1,SORL1
AC007128.1,SF1
AC007128.1,NCAPD2
AC007128.1,F3
AC007128.1,TRIB3
AC007128.1,MIR718
AC007128.1,RN7SL176P
AC007128.1,MIR197
AC007128.1,FLG2
AC007128.1,MT1B
AC007128.1,GS1-124K5.11
AC007128.1,RHPN2
AC007128.1,TYMS
AC007128.1,ANKRD10
AC007128.1,AP2M1
AC007128.1,SRPRA
AC007128.1,HS6ST2
AC007128.1,H2BC12
AC007128.1,BACE1
AC007128.1,PLEKHG4B
AC007128.1,HCAR2
AC007128.1,DPYSL2
AC007128.1,RPL22L1
AC007128.1,URB1
AC007128.1,DHX9
AC007128.1,WNT2B
AC007128.1,ARRDC4
AC007128.1,B4GALT5
AC007128.1,CCDC71
AC007128.1,SRXN1
AC007128.1,FRK
AC007128.1,PHF13
AC007128.1,DCAF12
AC007128.1,CCND2
AC007128.1,IGF2BP2
AC007128.1,OTUD3
AC007128.1,SLC7A1
AC007128.1,SLC7A11
AC007128.1,ALPP
AC007128.1,NARF
AC007128.1,DDX11
AC007128.1,MTMR2
AC007128.1,COPZ2
AC007128.1,NT5C
AC007128.1,DUS2
AC007128.1,GRAMD1A
AC007128.1,HIPK2
AC007128.1,KLC1
AC007128.1,PCLAF
AC007128.1,HNRNPLL
AC007128.1,FITM2
AC007128.1,B3GALT6
AC007128.1,MCM4
AC007128.1,SERP1
AC007128.1,ALG14
AC007128.1,CCNG2
AC007128.1,ACTR1B
AC007128.1,STARD3NL
AC007128.1,LOXL4
AC007128.1,PSAP
AC007128.1,SLC25A23
AC007128.1,PRDX4
AC007128.1,UBE2Q1
AC007128.1,NUP188
AC007128.1,CELF5
AC007128.1,ICMT
AC007128.1,NABP1
AC007128.1,SRGAP3
AC007128.1,SLC7A5
AC007128.1,SORCS2
AC007128.1,KDM7A-DT
AC007128.1,HCFC2
AC007128.1,PORCN
AC007128.1,WDR62
AC007128.1,H6PD
AC007128.1,BCAS4
